line_id	stop_id	time_from_start
CCL_1	KELB	0
CCL_1	SALA	77
CCL_1	TALA	146
CCL_1	CLIF	218
CCL_1	LAMB	300
CCL_0	LAMB	0
CCL_0	CLIF	81
CCL_0	TALA	153
CCL_0	SALA	222
CCL_0	KELB	300
37_0	5380	619
37_0	5381	700
37_0	5382	737
37_0	5383	755
37_0	5384	792
37_0	5385	827
37_0	5386	863
37_0	5388	913
37_0	5389	967
37_0	5390	1024
37_0	5391	1068
37_0	5392	1110
37_0	5393	1133
37_0	5394	1154
37_0	5395	1178
37_0	5327	1296
37_1	4396	0
37_1	4395	51
37_1	4394	83
37_1	4393	105
37_1	4392	131
37_1	4391	182
37_1	4390	233
37_1	4389	289
37_1	4388	338
37_1	4387	368
37_1	4386	400
37_1	4385	435
37_1	4384	479
37_1	4383	512
37_1	4382	535
37_1	4381	574
37_1	4320	677
37_1	4319	720
37_1	4918	776
37_1	4917	811
37_1	4916	869
37_1	4915	936
37_1	4914	1130
37_1	4913	1271
37_1	4912	1337
37_1	4911	1389
37_1	5519	1553
37_1	5520	1620
13_1	4936	0
13_1	4935	67
13_1	4934	100
13_1	4932	141
13_1	4931	178
13_1	4930	229
13_1	4929	275
13_1	4928	342
13_1	4927	390
13_1	4926	432
13_1	4925	466
13_1	4924	488
13_1	4923	539
13_1	4922	594
13_1	4921	636
13_1	4320	674
13_1	4319	720
13_1	4317	795
13_1	4316	846
13_1	4315	929
13_1	4314	957
13_1	4313	1033
13_1	4312	1074
13_1	4311	1208
13_1	5519	1326
13_1	5520	1380
13_0	5520	0
13_0	5012	13
13_0	5015	68
13_0	5312	204
13_0	5313	234
13_0	5315	317
13_0	5316	368
13_0	5317	412
13_0	5318	436
13_0	5319	480
13_0	5920	529
13_0	5921	561
13_0	5922	615
13_0	5923	676
13_0	5924	732
13_0	5925	760
13_0	5926	808
13_0	5927	856
13_0	5928	904
13_0	5929	982
13_0	5930	1045
13_0	5931	1086
13_0	5932	1123
13_0	5933	1153
13_0	5934	1178
13_0	5935	1218
13_0	5936	1320
JVL_1	JOHN	0
JVL_1	RARO	120
JVL_1	KHAN	300
JVL_1	BOXH	420
JVL_1	SIML	480
JVL_1	AWAR	600
JVL_1	NGAI	720
JVL_1	CROF	840
JVL_1	WELL	1380
JVL_0	WELL	0
JVL_0	CROF	480
JVL_0	NGAI	600
JVL_0	AWAR	720
JVL_0	SIML	840
JVL_0	BOXH	900
JVL_0	KHAN	1080
JVL_0	RARO	1260
JVL_0	JOHN	1380
14_1	4333	0
14_1	4381	42
14_1	5320	87
14_1	5139	240
14_1	4136	300
14_1	4135	329
14_1	4134	365
14_1	4133	406
14_1	4132	451
14_1	4131	488
14_1	4130	508
14_1	4129	560
14_1	4128	601
14_1	4127	649
14_1	4126	669
14_1	4125	704
14_1	4123	780
14_1	4122	808
14_1	4121	838
14_1	4120	891
14_1	4119	950
14_1	4118	992
14_1	4117	1033
14_1	4116	1079
14_1	4115	1171
14_1	4114	1202
14_1	4113	1284
14_1	5500	1380
14_1	5502	1467
14_1	5506	1591
14_1	5508	1672
14_1	5510	1812
14_1	5513	1950
14_1	5514	2069
14_1	5516	2160
14_0	5000	0
14_0	5002	74
14_0	5515	186
14_0	5006	287
14_0	5008	408
14_0	5010	530
14_0	5012	581
14_0	5014	699
14_0	5111	784
14_0	5112	894
14_0	5113	960
14_0	5114	1000
14_0	5115	1034
14_0	5116	1114
14_0	5117	1177
14_0	5118	1214
14_0	5119	1284
14_0	5120	1327
14_0	5121	1374
14_0	5123	1411
14_0	5124	1440
14_0	5125	1533
14_0	5126	1565
14_0	5127	1611
14_0	5128	1671
14_0	5129	1723
14_0	5130	1820
14_0	5131	1834
14_0	5132	1881
14_0	5133	1935
14_0	5134	1990
14_0	5135	2049
14_0	4136	2100
14_0	4139	2280
14_0	5323	2469
14_0	5324	2528
14_0	4333	2700
14_0	5324	2741
14_0	4333	2787
1_0	5000	0
1_0	5002	47
1_0	5515	118
1_0	5006	181
1_0	5008	257
1_0	5010	334
1_0	5012	367
1_0	5014	440
1_0	5016	504
1_0	5018	529
1_0	5020	546
1_0	5022	566
1_0	5024	580
1_0	5025	598
1_0	5026	628
1_0	5028	669
1_0	3260	712
1_0	3262	815
1_0	3264	833
1_0	3266	901
1_0	3268	1003
1_0	3000	1044
1_1	3081	0
1_1	3252	50
1_1	3254	204
1_1	3256	250
1_1	3258	356
1_1	5486	415
1_1	5488	445
1_1	5490	482
1_1	5492	495
1_1	5494	507
1_1	5496	530
1_1	5498	550
1_1	5500	576
1_1	5502	632
1_1	5506	712
1_1	5508	764
1_1	5510	854
1_1	5513	943
1_1	5514	1019
1_1	5516	1080
WHF_1	9998	900
WHF_1	9997	2400
WHF_0	9997	0
WHF_0	9998	1500
MEL_0	WELL	0
MEL_0	NGAU	360
MEL_1	NGAU	0
MEL_1	WELL	360
HVL_1	NGAU	0
HVL_1	WELL	270
HVL_0	WELL	0
HVL_0	NGAU	270
